gene,gene_name,tpm
ENSG00000179862,CITED4,2.7361618028868047
ENSG00000171793,CTPS1,27.01468715223116
ENSG00000010803,SCMH1,10.715837406144773
ENSG00000235358,RP11-399E6.1,0.5215907976981541
ENSG00000127124,HIVEP3,0.4581504920239256
ENSG00000198815,FOXJ3,8.30404402808603
ENSG00000127125,PPCS,11.895455474832099
ENSG00000186409,CCDC30,0.6922691096166849
ENSG00000171960,PPIH,100.31319162325943
ENSG00000065978,YBX1,2557.135649239618
ENSG00000117385,LEPRE1,8.255999277763706
ENSG00000164008,C1orf50,34.082839702412556
ENSG00000177868,CCDC23,114.82244077999164
ENSG00000164010,ERMAP,34.574170270625935
ENSG00000228192,RP11-342M1.3,1.0208845841969976
ENSG00000164011,ZNF691,6.565142595149335
ENSG00000117394,SLC2A1,53.54521063270587
ENSG00000227533,SLC2A1-AS1,18.0125343211191
ENSG00000117395,EBNA1BP2,277.7137869777728
ENSG00000066056,TIE1,0.33923309896093684
ENSG00000234694,RP1-92O14.3,1.4503674903932386
ENSG00000117399,CDC20,96.9996964946762
ENSG00000066322,ELOVL1,36.62363721669588
ENSG00000159479,MED8,58.03328045839564
ENSG00000198198,SZT2,5.749709042717412
ENSG00000178922,HYI,4.190510902422778
ENSG00000142949,PTPRF,9.620098570064375
ENSG00000066135,KDM4A,3.4732903755116262
ENSG00000236200,KDM4A-AS1,6.0666451304790385
ENSG00000126091,ST3GAL3,4.6677731183318265
ENSG00000237950,RP11-7O11.3,4.016116421971028
ENSG00000117408,IPO13,5.6504342547585775
ENSG00000132768,DPH2,37.4151811142714
ENSG00000117410,ATP6V0B,325.5310546977416
ENSG00000117411,B4GALT2,15.620914429383545
ENSG00000159214,CCDC24,3.6678583422865607
ENSG00000196517,SLC6A9,5.325534948711483
ENSG00000230615,RP5-1198O20.4,1.0564536258720882
ENSG00000178028,DMAP1,21.572358335332815
ENSG00000117419,ERI3,59.36765040243055
ENSG00000187147,RNF220,18.94051469198564
ENSG00000126106,TMEM53,4.506650668355857
ENSG00000142945,KIF2C,38.22397865146543
ENSG00000142937,RPS8,5703.517067849507
