cell,target,assay,effect_sign,background,pos_overlap,pos_total,pos_frac,bg_overlap,bg_total,bg_frac,odds_ratio,log2_OR,p_value,FDR
K562,ESRRA,TF ChIP-seq,neg,all,6,18,0.3333333333333333,107,599,0.17863105175292154,2.2990654205607477,1.252370593120646,0.11680504567736218,0.5081518653827124
K562,CTCF,TF ChIP-seq,neg,all,9,18,0.5,185,599,0.3088480801335559,2.2378378378378376,1.159952914874947,0.11907798116382573,0.5136499356981974
K562,CTBP1,TF ChIP-seq,neg,all,9,18,0.5,188,599,0.31385642737896496,2.1861702127659575,1.1263279071529613,0.12217674662858413,0.5139501159830522
K562,CBX1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,19,599,0.03171953255425709,3.8157894736842106,2.173284013532227,0.12165752225496741,0.5139501159830522
K562,ZNF384,TF ChIP-seq,neg,all,4,18,0.2222222222222222,63,599,0.10517529215358931,2.430839002267574,1.3906936802990961,0.12070941995791212,0.5139501159830522
K562,SPI1,TF ChIP-seq,neg,all,4,18,0.2222222222222222,64,599,0.10684474123539232,2.388392857142857,1.365459515641742,0.12585383160374705,0.5208097584252622
K562,DACH1,TF ChIP-seq,neg,all,4,18,0.2222222222222222,64,599,0.10684474123539232,2.388392857142857,1.365459515641742,0.12585383160374705,0.5208097584252622
K562,ZFP36,TF ChIP-seq,neg,all,3,18,0.16666666666666666,41,599,0.06844741235392321,2.7219512195121953,1.603532650807119,0.13014244253298696,0.5342137358813739
K562,MIER1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,20,599,0.0333889816360601,3.61875,2.098646821917297,0.13155321973308626,0.5356847107531273
K562,TAF9B,TF ChIP-seq,neg,all,3,18,0.16666666666666666,42,599,0.07011686143572621,2.6523809523809523,1.5665956703406942,0.13690113143337337,0.5530371103141829
K562,MCM7,TF ChIP-seq,neg,all,1,18,0.05555555555555555,4,599,0.00667779632721202,8.75,3.5037121801979914,0.13802290557052432,0.5531784168141487
K562,H3K36me3,Histone ChIP-seq,neg,all,3,18,0.16666666666666666,43,599,0.07178631051752922,2.5860465116279068,1.53045299316396,0.14378869596777677,0.5717847363093623
K562,ZNF592,TF ChIP-seq,neg,all,7,18,0.3888888888888889,132,599,0.22036727879799667,2.2513774104683195,1.202302644875943,0.14606865587614368,0.5763484173717607
K562,HNRNPL,TF ChIP-seq,neg,all,2,18,0.1111111111111111,22,599,0.03672787979966611,3.278409090909091,1.959358015502654,0.15190397932791672,0.5829989594848575
K562,CUX1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,22,599,0.03672787979966611,3.278409090909091,1.959358015502654,0.15190397932791672,0.5829989594848575
K562,DIDO1,TF ChIP-seq,neg,all,2,18,0.1111111111111111,22,599,0.03672787979966611,3.278409090909091,1.959358015502654,0.15190397932791672,0.5829989594848575
K562,CBFA2T2,TF ChIP-seq,neg,all,7,18,0.3888888888888889,137,599,0.2287145242070117,2.145985401459854,1.1333503865431582,0.1523356809655914,0.5829989594848575
K562,GABPB1,TF ChIP-seq,neg,all,5,18,0.2777777777777778,83,599,0.13856427378964942,2.391102873030584,1.333464362864836,0.1590162840411436,0.6040245416189708
K562,CREM,TF ChIP-seq,neg,all,7,18,0.3888888888888889,142,599,0.2370617696160267,2.048015364916773,1.0661384636708062,0.1611861599956611,0.6077315217614185
