target,assay
ARHGAP35,TF ChIP-seq
CDC5L,TF ChIP-seq
UBTF,TF ChIP-seq
HNRNPLL,TF ChIP-seq
ZNF79,TF ChIP-seq
ZNF165,TF ChIP-seq
KLF6,TF ChIP-seq
TSHZ1,TF ChIP-seq
GMEB1,TF ChIP-seq
ZHX1,TF ChIP-seq
E2F3,TF ChIP-seq
PHB2,TF ChIP-seq
PTTG1,TF ChIP-seq
DIDO1,TF ChIP-seq
ZC3H8,TF ChIP-seq
SMARCA4,TF ChIP-seq
PREB,TF ChIP-seq
CEBPG,TF ChIP-seq
TOE1,TF ChIP-seq
POLR2A,TF ChIP-seq
EP300,TF ChIP-seq
MCM7,TF ChIP-seq
SMARCC2,TF ChIP-seq
GTF2E2,TF ChIP-seq
RBM25,TF ChIP-seq
TFDP1,TF ChIP-seq
GATA2,TF ChIP-seq
ILF3,TF ChIP-seq
ETV1,TF ChIP-seq
NR2C2,TF ChIP-seq
ZNF589,TF ChIP-seq
HDAC8,TF ChIP-seq
ELF1,TF ChIP-seq
NKRF,TF ChIP-seq
ZSCAN29,TF ChIP-seq
E2F5,TF ChIP-seq
MGA,TF ChIP-seq
ETS2,TF ChIP-seq
NR2C1,TF ChIP-seq
ZBTB5,TF ChIP-seq
HLTF,TF ChIP-seq
FOXJ2,TF ChIP-seq
ARID3B,TF ChIP-seq
ZNF696,TF ChIP-seq
SNRNP70,TF ChIP-seq
ZNF583,TF ChIP-seq
IRF9,TF ChIP-seq
SIX5,TF ChIP-seq
POU5F1,TF ChIP-seq
CBX2,TF ChIP-seq
HMG20B,TF ChIP-seq
SMAD4,TF ChIP-seq
TRIM25,TF ChIP-seq
H3K79me2,Histone ChIP-seq
H3K27me3,Histone ChIP-seq
H4K20me1,Histone ChIP-seq
H3K4me2,Histone ChIP-seq
H2AFZ,Histone ChIP-seq
H3K9ac,Histone ChIP-seq
H3K36me3,Histone ChIP-seq
H3K9me1,Histone ChIP-seq
H3K27ac,Histone ChIP-seq
H3K4me1,Histone ChIP-seq
H3K9me3,Histone ChIP-seq
H3K4me3,Histone ChIP-seq
