experiment,lab,n_audit_error,n_audit_notcompliant,n_audit_warning
ENCSR099MNR,"Michael Snyder, Stanford",0,0,4
ENCSR175SZH,"Michael Snyder, Stanford",0,0,2
ENCSR167KBO,"Michael Snyder, Stanford",0,0,0
ENCSR168CEE,"Michael Snyder, Stanford",0,0,4
ENCSR158RYZ,"Kevin White, UChicago",0,0,3
ENCSR117WTM,"Michael Snyder, Stanford",0,0,4
ENCSR156JWW,"Richard Myers, HAIB",0,0,9
ENCSR166BAY,"Richard Myers, HAIB",0,0,7
ENCSR130PDE,"Michael Snyder, Stanford",0,0,8
ENCSR138FUZ,"Michael Snyder, Stanford",0,0,5
ENCSR153DWR,"Richard Myers, HAIB",0,0,6
ENCSR140GLO,"Richard Myers, HAIB",0,0,6
ENCSR158LJN,"Richard Myers, HAIB",0,0,7
ENCSR125YGM,"Michael Snyder, Stanford",0,0,6
ENCSR133DMU,"Richard Myers, HAIB",0,0,6
ENCSR146UIC,"Richard Myers, HAIB",0,0,2
ENCSR092DCD,"Richard Myers, HAIB",0,0,1
ENCSR110QIL,"Michael Snyder, Stanford",0,0,4
ENCSR177DNR,"Xiang-Dong Fu, UCSD",0,3,7
ENCSR121SPB,"Michael Snyder, Stanford",0,0,18
ENCSR119FAD,"Michael Snyder, Stanford",0,0,5
ENCSR109YGM,"Michael Snyder, Stanford",0,0,9
ENCSR137ZMQ,"Michael Snyder, Stanford",0,0,3
ENCSR124BJR,"Michael Snyder, Stanford",0,0,4
ENCSR145TSJ,"Michael Snyder, Stanford",0,2,4
ENCSR099NCH,"Michael Snyder, Stanford",0,0,1
ENCSR138SFL,"Michael Snyder, Stanford",0,0,4
ENCSR093FKD,"Michael Snyder, Stanford",0,0,9
ENCSR142YYA,"Michael Snyder, Stanford",0,2,8
ENCSR115BBC,"Michael Snyder, Stanford",0,2,4
ENCSR175EOM,"Michael Snyder, Stanford",0,0,2
ENCSR119ULQ,"Michael Snyder, Stanford",0,2,2
ENCSR149ZBI,"Kevin White, UChicago",0,0,6
ENCSR107GRP,"Michael Snyder, Stanford",0,0,0
ENCSR163IUV,"Richard Myers, HAIB",0,0,1
ENCSR172OSX,"Michael Snyder, Stanford",0,0,0
ENCSR160QYK,"Michael Snyder, Stanford",0,0,0
ENCSR116NDV,"Richard Myers, HAIB",0,0,3
ENCSR120MPG,"Michael Snyder, Stanford",0,2,0
ENCSR161NON,"Bing Ren, UCSD",0,0,3
ENCSR130EML,"Bing Ren, UCSD",0,3,4
ENCSR130HEG,"Michael Snyder, Stanford",0,0,6
ENCSR125RFR,"Richard Myers, HAIB",0,0,5
ENCSR128KLX,"Michael Snyder, Stanford",0,0,2
ENCSR103TYK,"Michael Snyder, Stanford",0,0,1
ENCSR159OCC,"Richard Myers, HAIB",0,0,0
ENCSR126FZN,"Michael Snyder, Stanford",0,0,4
ENCSR100UQX,"Michael Snyder, Stanford",0,2,2
ENCSR158BGH,"Michael Snyder, Stanford",0,0,2
ENCSR154EIH,"Michael Snyder, Stanford",0,2,6
ENCSR119VCX,"Michael Snyder, Stanford",0,0,2
ENCSR115HLM,"Michael Snyder, Stanford",0,0,1
ENCSR162IEM,"Michael Snyder, Stanford",0,0,7
ENCSR171CAY,"Michael Snyder, Stanford",0,0,7
ENCSR153HNT,"Richard Myers, HAIB",0,0,3
ENCSR102KIN,"Richard Myers, HAIB",0,0,4
ENCSR150QDE,"Richard Myers, HAIB",0,0,5
ENCSR164RIC,"Michael Snyder, Stanford",0,0,6
ENCSR096OUP,"Michael Snyder, Stanford",0,0,4
ENCSR121PFY,"Michael Snyder, Stanford",0,0,0
ENCSR112RNT,"Xiang-Dong Fu, UCSD",0,3,6
ENCSR160ZLP,"Bradley Bernstein, Broad",0,0,8
ENCSR172XJS,"Michael Snyder, Stanford",0,0,2
ENCSR167JBG,"Michael Snyder, Stanford",0,0,5
ENCSR143CEO,"Michael Snyder, Stanford",0,0,0
ENCSR155KHM,"Michael Snyder, Stanford",0,0,4
ENCSR109SJT,"Michael Snyder, Stanford",0,0,7
ENCSR279OXE,"Michael Snyder, Stanford",0,0,7
ENCSR248QBT,"Richard Myers, HAIB",0,0,3
ENCSR181ELQ,"Michael Snyder, Stanford",0,0,5
ENCSR231CZR,"Michael Snyder, Stanford",0,0,4
ENCSR279IMD,"Richard Myers, HAIB",0,0,5
ENCSR264OKN,"Richard Myers, HAIB",0,0,9
ENCSR231ZVN,"Michael Snyder, Stanford",0,0,4
ENCSR236JZN,"Michael Snyder, Stanford",0,0,6
ENCSR214RUE,"Richard Myers, HAIB",0,0,3
ENCSR245QUM,"Richard Myers, HAIB",0,0,1
ENCSR187RGF,"Michael Snyder, Stanford",0,0,6
ENCSR201NQZ,"Michael Snyder, Stanford",0,0,1
ENCSR189PYJ,"Michael Snyder, Stanford",0,0,5
ENCSR230PTV,"Michael Snyder, Stanford",0,0,2
ENCSR230WNU,"Bing Ren, UCSD",0,0,16
ENCSR197ALX,"Michael Snyder, Stanford",0,0,3
ENCSR237VLT,"Michael Snyder, Stanford",0,0,0
ENCSR272JAT,"Richard Myers, HAIB",0,0,2
ENCSR282SNG,"Bing Ren, UCSD",0,2,6
ENCSR178DEG,"Michael Snyder, Stanford",0,0,7
ENCSR225OGU,"Richard Myers, HAIB",0,0,8
ENCSR269BSA,"Richard Myers, HAIB",0,0,2
ENCSR203PCF,"Richard Myers, HAIB",0,0,1
ENCSR229QAN,"Richard Myers, HAIB",0,0,7
ENCSR199PXS,"Richard Myers, HAIB",0,0,5
ENCSR228ELU,"Richard Myers, HAIB",0,0,5
ENCSR214EKV,"Michael Snyder, Stanford",0,0,7
ENCSR229KXQ,"Richard Myers, HAIB",0,0,1
ENCSR201DCF,"Richard Myers, HAIB",0,0,5
ENCSR249VFB,"Richard Myers, HAIB",0,0,6
ENCSR208VNN,"Michael Snyder, Stanford",0,0,5
ENCSR280IFJ,"Bing Ren, UCSD",0,3,14
ENCSR260GQA,"Michael Snyder, Stanford",0,0,4
ENCSR268QIQ,"Xiang-Dong Fu, UCSD",0,2,8
ENCSR258PSN,"Richard Myers, HAIB",0,0,1
ENCSR276HBK,"Bing Ren, UCSD",0,2,7
ENCSR177XCS,"Michael Snyder, Stanford",0,2,1
