cellset,term_name,experiment,assay,target,investigated_as,biosample_summary,lab,n_audit_error,n_audit_notcompliant,n_audit_warning,endogenous_tag,keep,exclude_reason,file,output_type,preferred_default,file_size,md5sum,href
K562,K562,ENCSR893WSB,TF ChIP-seq,HDAC2,chromatin remodeler,Homo sapiens K562,"Michael Snyder, Stanford",0,2,1,,True,,ENCFF519RWJ,optimal IDR thresholded peaks,True,714356.0,ce3ad1a0d42079a4eecba3f7e22fd380,https://www.encodeproject.org/files/ENCFF519RWJ/@@download/ENCFF519RWJ.bed.gz
K562,K562,ENCSR820GND,TF ChIP-seq,RNF2,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,2,,True,,ENCFF349MSP,optimal IDR thresholded peaks,True,164122.0,dfb29d14928060c7b12347bbf74fedb5,https://www.encodeproject.org/files/ENCFF349MSP/@@download/ENCFF349MSP.bed.gz
K562,K562,ENCSR737LTZ,TF ChIP-seq,MYNN,transcription factor,Homo sapiens K562,"Richard Myers, HAIB",0,0,2,,True,,ENCFF272LLG,optimal IDR thresholded peaks,True,262233.0,ef8ff622f37beebd0ba43150fe879b82,https://www.encodeproject.org/files/ENCFF272LLG/@@download/ENCFF272LLG.bed.gz
K562,K562,ENCSR336GFK,TF ChIP-seq,CAMTA2,cofactor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens CAMTA2,"Michael Snyder, Stanford",0,0,0,eGFP,True,,ENCFF123IHX,conservative IDR thresholded peaks,True,47388.0,1c2232764b46b5636a719c20e7b043f7,https://www.encodeproject.org/files/ENCFF123IHX/@@download/ENCFF123IHX.bed.gz
K562,K562,ENCSR972ZBV,TF ChIP-seq,ATF7,cofactor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,5,,True,,ENCFF371SJR,optimal IDR thresholded peaks,True,830259.0,669cb3b083f3eac46781498cc9db168d,https://www.encodeproject.org/files/ENCFF371SJR/@@download/ENCFF371SJR.bed.gz
K562,K562,ENCSR815ZDS,TF ChIP-seq,SREBF1,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,7,,True,,ENCFF777MYW,optimal IDR thresholded peaks,True,53894.0,003e9a52b0eec20cf37812002d52be38,https://www.encodeproject.org/files/ENCFF777MYW/@@download/ENCFF777MYW.bed.gz
K562,K562,ENCSR000EGX,TF ChIP-seq,MAFK,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,6,,True,,ENCFF893SCL,optimal IDR thresholded peaks,True,477127.0,71d744d2459018e65e97fef53e8a8ded,https://www.encodeproject.org/files/ENCFF893SCL/@@download/ENCFF893SCL.bed.gz
K562,K562,ENCSR149ZBI,TF ChIP-seq,ZNF584,transcription factor,Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF584,"Kevin White, UChicago",0,0,6,eGFP,True,,ENCFF005MBI,IDR thresholded peaks,True,279486.0,81ad39567da2210fe461b1ba83465b75,https://www.encodeproject.org/files/ENCFF005MBI/@@download/ENCFF005MBI.bed.gz
K562,K562,ENCSR107GRP,TF ChIP-seq,MLLT1,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,0,,True,,ENCFF010AIG,optimal IDR thresholded peaks,True,476775.0,1066a28ac5d170f198afbf05a1d694b8,https://www.encodeproject.org/files/ENCFF010AIG/@@download/ENCFF010AIG.bed.gz
K562,K562,ENCSR494UQJ,TF ChIP-seq,NR3C1,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,2,1,,True,,ENCFF821YMC,optimal IDR thresholded peaks,True,74160.0,c9c4220e59a9e0a0b0d9bae6f4b9f840,https://www.encodeproject.org/files/ENCFF821YMC/@@download/ENCFF821YMC.bed.gz
K562,K562,ENCSR796ITY,TF ChIP-seq,NFIC,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,5,,True,,ENCFF092TVM,optimal IDR thresholded peaks,True,878508.0,755fcf39e0513f266110edb9abe198a7,https://www.encodeproject.org/files/ENCFF092TVM/@@download/ENCFF092TVM.bed.gz
K562,K562,ENCSR632DCH,TF ChIP-seq,ATF3,transcription factor,Homo sapiens K562 stably expressing ATF3,"Michael Snyder, Stanford",0,0,9,eGFP,True,,ENCFF419WTZ,optimal IDR thresholded peaks,True,795933.0,db80ad0dec4830532fc99a3350ab1b37,https://www.encodeproject.org/files/ENCFF419WTZ/@@download/ENCFF419WTZ.bed.gz
K562,K562,ENCSR508DQA,TF ChIP-seq,FOXK2,transcription factor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,4,,True,,ENCFF490EQR,optimal IDR thresholded peaks,True,413118.0,8e7d965948f669a017bdd7bc2b7685dd,https://www.encodeproject.org/files/ENCFF490EQR/@@download/ENCFF490EQR.bed.gz
K562,K562,ENCSR222MYK,TF ChIP-seq,SRSF7,RNA binding protein,Homo sapiens K562,"Xiang-Dong Fu, UCSD",0,0,8,,True,,ENCFF550VUN,optimal IDR thresholded peaks,True,5162.0,22be748c7ce99137b1a2334377921a91,https://www.encodeproject.org/files/ENCFF550VUN/@@download/ENCFF550VUN.bed.gz
K562,K562,ENCSR863KUB,TF ChIP-seq,TCF7,transcription factor,Homo sapiens K562,"Richard Myers, HAIB",0,0,3,,True,,ENCFF512IAI,optimal IDR thresholded peaks,True,108529.0,e33e20bf2dddde8658e603a7255dc012,https://www.encodeproject.org/files/ENCFF512IAI/@@download/ENCFF512IAI.bed.gz
K562,K562,ENCSR552YGL,TF ChIP-seq,NFE2,transcription factor,Homo sapiens K562 stably expressing NFE2,"Michael Snyder, Stanford",0,0,4,eGFP,True,,ENCFF286HTI,optimal IDR thresholded peaks,True,790918.0,cea53b76d4303d99def897be661dcfcf,https://www.encodeproject.org/files/ENCFF286HTI/@@download/ENCFF286HTI.bed.gz
K562,K562,ENCSR219BXP,TF ChIP-seq,DPF2,cofactor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,1,,True,,ENCFF537VKZ,optimal IDR thresholded peaks,True,456441.0,4576691925fb5ba9366e3c4086bd14b2,https://www.encodeproject.org/files/ENCFF537VKZ/@@download/ENCFF537VKZ.bed.gz
K562,K562,ENCSR807BGP,TF ChIP-seq,MTA1,cofactor,Homo sapiens K562,"Michael Snyder, Stanford",0,0,1,,True,,ENCFF801KEW,optimal IDR thresholded peaks,True,335713.0,2b67efa03e5a670d42fcb599b73d4122,https://www.encodeproject.org/files/ENCFF801KEW/@@download/ENCFF801KEW.bed.gz
K562,K562,ENCSR997NGQ,TF ChIP-seq,XRCC3,DNA repair,Homo sapiens K562,"Michael Snyder, Stanford",0,0,3,,True,,ENCFF115PGE,optimal IDR thresholded peaks,True,37362.0,8417a885ff667abd50e5bd69ad63d1bd,https://www.encodeproject.org/files/ENCFF115PGE/@@download/ENCFF115PGE.bed.gz
K562,K562,ENCSR626QJQ,TF ChIP-seq,CSDE1,RNA binding protein,Homo sapiens K562,"Michael Snyder, Stanford",0,0,0,,True,,ENCFF671BMR,optimal IDR thresholded peaks,True,43300.0,62e1bc4c843abbf2597b0ea638cf14e8,https://www.encodeproject.org/files/ENCFF671BMR/@@download/ENCFF671BMR.bed.gz
